,author,title,library_type,day,month,year,challenge_date,state
4563,"Radziszewicz, Tina","Ready or Not? A Girl's Guide to Making Her Own Decisions About Dating, Love and Sex",School,1,3,2022,2022-03-01,TX
4564,"Radziszewicz, Tina","Ready or Not? A Girl's Guide to Making Her Own Decisions About Dating, Love and Sex",School,1,3,2022,2022-03-01,TX
4565,"Radziszewicz, Tina","Ready or Not? A Girl's Guide to Making Her Own Decisions About Dating, Love and Sex",School,1,12,2021,2021-12-01,TX
4566,"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",School,1,12,2022,2022-12-01,CO
4567,"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",School,1,12,2022,2022-12-01,CO
4569,"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",School,1,7,2022,2022-07-01,FL
4570,"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",School,1,3,2023,2023-03-01,FL
4571,"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",School,1,3,2023,2023-03-01,CO
4572,"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",School,1,11,2022,2022-11-01,NC
4573,"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",School,1,1,2023,2023-01-01,FL
4574,"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",School,1,3,2022,2022-03-01,NC
4575,"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",School,1,3,2022,2022-03-01,TX
4576,"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",School,1,11,2021,2021-11-01,FL
4577,"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",School,1,2,2022,2022-02-01,PA
4578,"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",School,1,2,2022,2022-02-01,FL
4579,"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",School,1,11,2021,2021-11-01,UT
